Category,Customer_Id,Customer_Fname,Customer_Lname,Customer_City,Customer_State,Customer_Zipcode,Customer_Country,TotalSpent,TotalOrders,AverageOrderValue
Highest Spenders,791,Mary,Smith,Canton,MI,48187,EE. UU.,9436.61008833,43,219.45604856581397
Highest Spenders,8766,Mary,Duncan,Caguas,PR,725,Puerto Rico,8400.98010666,38,221.07842385947367
Highest Spenders,9371,Mary,Patterson,Meridian,ID,83642,EE. UU.,8222.670103,44,186.87886597727274
Highest Spenders,2641,Betty,Spears,Carrollton,TX,75006,EE. UU.,8221.640129540001,43,191.2009332451163
Highest Spenders,4249,Mary,Butler,Caguas,PR,725,Puerto Rico,8198.15006854,39,210.20897611641027
Highest Spenders,1657,Betty,Phillips,Caguas,PR,725,Puerto Rico,8165.23002262,42,194.41023863380954
Highest Spenders,3710,Ashley,Smith,Springfield,MO,65807,EE. UU.,8112.1301271699995,42,193.1459554088095
Highest Spenders,5654,Jerry,Smith,Caguas,PR,725,Puerto Rico,7918.7500801900005,47,168.48404425936172
Highest Spenders,5715,Kelly,Smith,Caguas,PR,725,Puerto Rico,7881.100091729999,44,179.1159111756818
Highest Spenders,1288,Evelyn,Thompson,Caguas,PR,725,Puerto Rico,7869.0200652600015,42,187.3576206014286
Lowest Spenders,12833,Moana,Hutchinson,Cumberland,MD,21502,EE. UU.,8.470000267,1,8.470000267
Lowest Spenders,12959,Dominique,Charles,Mission Viejo,CA,92692,EE. UU.,8.470000267,1,8.470000267
Lowest Spenders,17803,Abra,Carter,Caguas,PR,725,Puerto Rico,8.470000267,1,8.470000267
Lowest Spenders,17839,Jolene,Hood,Newark,DE,19702,EE. UU.,8.470000267,1,8.470000267
Lowest Spenders,17857,Desiree,Hammond,Caguas,PR,725,Puerto Rico,8.470000267,1,8.470000267
Lowest Spenders,17875,Shay,Welch,Aurora,CO,80012,EE. UU.,8.470000267,1,8.470000267
Lowest Spenders,17785,Cassandra,Camacho,Longmont,CO,80501,EE. UU.,8.470000267,1,8.470000267
Lowest Spenders,12869,Xerxes,Hinton,Las Vegas,NV,89115,EE. UU.,8.470000267,1,8.470000267
Lowest Spenders,17767,Irma,Thompson,Caguas,PR,725,Puerto Rico,8.470000267,1,8.470000267
Lowest Spenders,12851,Lilah,Berry,San Diego,CA,92113,EE. UU.,8.470000267,1,8.470000267
